,0,1
3299,554,231
3300,783,2604
3301,1249,3399
3302,1166,3200
3303,654,1604
3304,1416,938
3305,755,2817
3306,1655,1600
3307,743,268
3308,1626,1257
3309,223,1179
3310,590,2414
3311,488,3098
3312,269,1849
3313,1493,1228
3314,1306,598
3315,173,1597
3316,1643,3328
3317,928,2155
3318,1406,336
3319,605,3232
3320,569,2705
3321,525,3263
3322,604,2564
3323,621,1495
3324,1014,514
3325,1422,1597
3326,81,2564
3327,1163,2294
3328,1303,2043
3329,705,2740
3330,649,455
3331,544,2364
3332,603,899
3333,498,1548
3334,1038,3532
3335,829,1182
3336,1353,3650
3337,223,1862
3338,163,1853
3339,789,2614
3340,979,3622
3341,788,2346
3342,624,1296
3343,832,943
3344,1210,1369
3345,805,3536
3346,590,1860
3347,1251,2743
3348,311,532
3349,1394,2201
3350,539,197
3351,1271,3601
3352,197,873
3353,1186,3454
3354,361,3486
3355,1378,402
3356,737,1970
3357,1439,3225
3358,910,2384
3359,226,946
3360,955,1320
3361,1245,684
3362,1327,30
3363,655,92
3364,655,2642
3365,1277,3121
3366,1331,1408
3367,1702,1001
3368,293,1763
3369,1140,3629
3370,603,3286
3371,640,1310
3372,12,1623
3373,1592,1919
3374,1405,2825
3375,864,1915
3376,874,2309
3377,670,1558
3378,1205,1111
3379,16,172
3380,241,1339
3381,1629,1735
3382,1163,3130
3383,1063,2991
3384,598,2164
3385,259,1987
3386,725,500
3387,924,1501
3388,929,1500
3389,801,2585
3390,561,3258
3391,979,1899
3392,650,3688
3393,1495,2932
3394,1514,1467
3395,535,2183
3396,1390,576
3397,546,1746
3398,669,645
3399,1274,2697
3400,640,607
3401,1099,2857
3402,1149,2287
3403,793,3105
3404,172,30
3405,77,3012
3406,871,1509
3407,1217,3097
3408,126,935
3409,1206,333
3410,207,3671
3411,133,3712
3412,1595,1895
3413,1574,1706
3414,970,1569
3415,1494,1118
3416,670,3571
3417,380,3646
3418,127,1115
3419,1542,3568
3420,343,1683
3421,541,1902
3422,1614,1383
3423,1571,892
3424,1208,108
3425,27,2346
3426,1386,3433
3427,80,638
3428,645,558
3429,919,172
3430,318,2308
3431,1703,2226
3432,1330,2346
3433,590,3218
3434,277,2902
3435,337,3089
3436,1392,587
3437,1532,1321
3438,318,353
3439,783,3268
3440,1405,3080
3441,1263,492
3442,366,2821
3443,147,3238
3444,499,2840
3445,164,1888
3446,1436,2839
3447,1064,528
3448,43,1974
3449,902,2624
3450,1496,2596
3451,655,2616
3452,758,1443
3453,254,377
3454,416,3117
3455,1515,250
3456,1567,1407
3457,485,3650
3458,381,1706
3459,1185,1331
3460,1364,2343
3461,1146,1514
3462,1323,1150
3463,137,999
3464,1249,3384
3465,526,1554
3466,238,3266
3467,918,2589
3468,380,2358
3469,1263,1667
3470,1084,983
3471,549,2090
3472,1588,2739
